client_id;montant_moyen;derniere_transaction;nb_transactions_mois;derniere_transaction_jour;cluster_name;cluster
473489;94480;2025-08-18;5;15;Élevé montant / moyen activité / récent;20
473491;8505;2025-08-11;3;22;Faible montant / faible activité / récent;1
473501;12017;2025-08-15;58;18;Petits mais actifs (faible montant, très actifs);12
473509;7417;2025-08-12;6;21;Faible montant / moyen activité / récent;3
473543;110600;2025-08-18;5;15;Élevé montant / moyen activité / récent;20
473561;115860;2025-07-30;4;34;Élevé montant / moyen activité / ancien;18
473570;99571;2025-08-07;7;26;Élevé montant / moyen activité / intermédiaire;19
473616;85546;2025-08-18;14;15;VIP (montant élevé, très actifs, récents);14
473657;95788;2025-08-07;13;26;VIP (montant élevé, très actifs, récents);14
473673;11250;2025-08-11;2;22;Faible montant / faible activité / récent;1
473686;30000;2025-07-16;1;48;Moyen montant / faible activité / ancien;5
473691;5000;2025-07-30;3;34;À réactiver (petit montant, anciens);15
473707;81500;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
473710;40449;2025-08-18;22;15;Fidèles réguliers (activité élevée, montant moyen);4
473728;66494;2025-08-15;15;18;VIP (montant élevé, très actifs, récents);14
473768;48072;2025-08-06;19;27;Fidèles réguliers (activité élevée, montant moyen);4
473782;23989;2025-08-18;18;15;Fidèles réguliers (activité élevée, montant moyen);4
473791;169438;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
473792;47371;2025-08-16;13;17;Fidèles réguliers (activité élevée, montant moyen);4
473793;8444;2025-08-04;9;29;Faible montant / moyen activité / intermédiaire;2
473862;49725;2025-08-16;10;17;Fidèles réguliers (activité élevée, montant moyen);4
473882;41500;2025-08-16;3;17;Moyen montant / faible activité / récent;7
473919;47643;2025-08-18;19;15;Fidèles réguliers (activité élevée, montant moyen);4
473956;173500;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
473958;73145;2025-08-02;6;31;Élevé montant / moyen activité / intermédiaire;19
473965;28911;2025-08-16;46;17;Fidèles réguliers (activité élevée, montant moyen);4
473981;80555;2025-07-30;2;34;Premium dormants (haut montant, peu actifs, anciens);13
474082;4129;2025-08-14;33;19;Petits mais actifs (faible montant, très actifs);12
474102;29271;2025-07-30;4;34;Moyen montant / moyen activité / ancien;8
474103;30714;2025-07-30;7;34;Moyen montant / moyen activité / ancien;8
474105;151333;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
474165;60993;2025-08-09;11;24;Fidèles réguliers (activité élevée, montant moyen);4
474227;2078;2025-08-14;2;19;Faible montant / faible activité / récent;1
474238;176350;2025-07-31;10;33;VIP (montant élevé, très actifs, récents);14
474246;179107;2025-07-18;6;46;Élevé montant / moyen activité / ancien;18
474349;4000;2025-08-05;1;28;Faible montant / faible activité / intermédiaire;0
474362;99158;2025-08-11;6;22;Élevé montant / moyen activité / récent;20
474378;59208;2025-08-13;11;20;Fidèles réguliers (activité élevée, montant moyen);4
474393;10050;2025-06-18;2;76;À réactiver (petit montant, anciens);15
474434;10167;2025-08-17;21;16;Petits mais actifs (faible montant, très actifs);12
474533;7940;2025-08-06;9;27;Faible montant / moyen activité / intermédiaire;2
474535;62589;2025-08-14;35;19;VIP (montant élevé, très actifs, récents);14
474559;111777;2025-07-29;6;35;Élevé montant / moyen activité / ancien;18
474602;20950;2025-07-30;14;34;Petits mais actifs (faible montant, très actifs);12
474668;84500;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
474677;78636;2025-08-12;11;21;VIP (montant élevé, très actifs, récents);14
474688;100750;2025-08-18;4;15;Élevé montant / moyen activité / récent;20
474758;55252;2025-07-01;10;63;Moyen montant / élevé activité / ancien;11
474769;128750;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
474770;136160;2025-08-17;5;16;Élevé montant / moyen activité / récent;20
474812;127500;2025-08-02;2;31;Élevé montant / faible activité / intermédiaire;16
474837;95090;2025-07-30;15;34;Élevé montant / élevé activité / ancien;21
474904;96480;2025-08-14;25;19;VIP (montant élevé, très actifs, récents);14
474927;82040;2025-08-18;9;15;Élevé montant / moyen activité / récent;20
474929;12500;2025-08-05;2;28;Faible montant / faible activité / intermédiaire;0
474945;145475;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
475019;93000;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
475036;100000;2025-08-16;4;17;Élevé montant / moyen activité / récent;20
475067;121250;2025-08-01;4;32;Élevé montant / moyen activité / intermédiaire;19
475094;93400;2025-07-29;5;35;Élevé montant / moyen activité / ancien;18
475096;129040;2025-08-01;5;32;Élevé montant / moyen activité / intermédiaire;19
475102;5042;2025-08-12;4;21;Faible montant / moyen activité / récent;3
475113;19667;2025-07-05;9;59;À réactiver (petit montant, anciens);15
475123;153190;2025-07-29;3;35;Premium dormants (haut montant, peu actifs, anciens);13
475131;113625;2025-06-27;2;67;Premium dormants (haut montant, peu actifs, anciens);13
475133;137381;2025-08-18;5;15;Élevé montant / moyen activité / récent;20
475153;134667;2025-07-01;3;63;Premium dormants (haut montant, peu actifs, anciens);13
475154;7800;2025-08-18;1;15;Faible montant / faible activité / récent;1
475188;83000;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
475192;105702;2025-08-18;6;15;Élevé montant / moyen activité / récent;20
475227;50365;2025-08-16;10;17;Fidèles réguliers (activité élevée, montant moyen);4
475235;29603;2025-07-28;6;36;Moyen montant / moyen activité / ancien;8
475241;37937;2025-07-29;3;35;Moyen montant / faible activité / ancien;5
475249;44769;2025-08-17;23;16;Fidèles réguliers (activité élevée, montant moyen);4
475260;28106;2025-08-18;22;15;Fidèles réguliers (activité élevée, montant moyen);4
475282;105302;2025-08-18;4;15;Élevé montant / moyen activité / récent;20
475291;59400;2025-08-13;5;20;Moyen montant / moyen activité / récent;10
475303;200000;2025-06-28;1;66;Premium dormants (haut montant, peu actifs, anciens);13
475339;118000;2025-08-18;5;15;Élevé montant / moyen activité / récent;20
475344;102874;2025-08-01;7;32;Élevé montant / moyen activité / intermédiaire;19
475387;134588;2025-07-31;4;33;Élevé montant / moyen activité / intermédiaire;19
475423;10250;2025-08-17;2;16;Faible montant / faible activité / récent;1
475432;125167;2025-08-01;3;32;Élevé montant / faible activité / intermédiaire;16
475434;22100;2025-08-05;5;28;Faible montant / moyen activité / intermédiaire;2
475497;28938;2025-08-06;6;27;Moyen montant / moyen activité / intermédiaire;9
475510;62286;2025-08-14;7;19;Élevé montant / moyen activité / récent;20
475656;70183;2025-07-28;6;36;Élevé montant / moyen activité / ancien;18
475663;30947;2025-08-18;19;15;Fidèles réguliers (activité élevée, montant moyen);4
475728;16716;2025-07-30;4;34;À réactiver (petit montant, anciens);15
475756;40500;2025-07-25;1;39;Moyen montant / faible activité / ancien;5
475780;90000;2025-07-02;1;62;Premium dormants (haut montant, peu actifs, anciens);13
475798;50500;2025-06-25;1;69;Moyen montant / faible activité / ancien;5
475916;45400;2025-07-26;3;38;Moyen montant / faible activité / ancien;5
475932;33835;2025-08-06;4;27;Moyen montant / moyen activité / intermédiaire;9
475935;58270;2025-08-05;4;28;Moyen montant / moyen activité / intermédiaire;9
475955;30483;2025-08-15;23;18;Fidèles réguliers (activité élevée, montant moyen);4
476029;30524;2025-08-03;31;30;Fidèles réguliers (activité élevée, montant moyen);4
476040;73500;2025-07-25;2;39;Premium dormants (haut montant, peu actifs, anciens);13
476068;64275;2025-08-06;10;27;VIP (montant élevé, très actifs, récents);14
476090;10000;2025-08-18;1;15;Faible montant / faible activité / récent;1
476103;10794;2025-08-16;11;17;Petits mais actifs (faible montant, très actifs);12
476129;47060;2025-07-28;6;36;Moyen montant / moyen activité / ancien;8
476211;170540;2025-07-11;10;53;Élevé montant / élevé activité / ancien;21
476282;136000;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
476444;27966;2025-08-12;12;21;Fidèles réguliers (activité élevée, montant moyen);4
476450;22498;2025-07-30;14;34;Petits mais actifs (faible montant, très actifs);12
476477;77000;2025-08-18;1;15;Élevé montant / faible activité / récent;17
476654;26588;2025-07-24;6;40;Moyen montant / moyen activité / ancien;8
476693;80045;2025-08-01;4;32;Élevé montant / moyen activité / intermédiaire;19
476772;6136;2025-08-15;10;18;Petits mais actifs (faible montant, très actifs);12
476824;6000;2025-08-18;2;15;Faible montant / faible activité / récent;1
476912;44154;2025-07-30;5;34;Moyen montant / moyen activité / ancien;8
477003;30662;2025-08-03;13;30;Fidèles réguliers (activité élevée, montant moyen);4
477011;76634;2025-07-31;2;33;Élevé montant / faible activité / intermédiaire;16
477113;106560;2025-07-28;5;36;Élevé montant / moyen activité / ancien;18
477235;115667;2025-08-12;3;21;Élevé montant / faible activité / récent;17
477254;20000;2025-07-25;3;39;À réactiver (petit montant, anciens);15
477396;80833;2025-08-18;6;15;Élevé montant / moyen activité / récent;20
477444;10662;2025-07-14;45;50;Petits mais actifs (faible montant, très actifs);12
477514;105550;2025-08-02;6;31;Élevé montant / moyen activité / intermédiaire;19
477591;21219;2025-08-18;12;15;Petits mais actifs (faible montant, très actifs);12
477646;66091;2025-08-18;9;15;Élevé montant / moyen activité / récent;20
477675;5000;2025-08-15;1;18;Faible montant / faible activité / récent;1
477681;52456;2025-07-29;9;35;Moyen montant / moyen activité / ancien;8
477782;34503;2025-08-11;36;22;Fidèles réguliers (activité élevée, montant moyen);4
477816;150000;2025-08-06;1;27;Élevé montant / faible activité / intermédiaire;16
477831;9604;2025-08-17;10;16;Petits mais actifs (faible montant, très actifs);12
477855;66867;2025-08-08;3;25;Élevé montant / faible activité / intermédiaire;16
477863;5286;2025-08-16;11;17;Petits mais actifs (faible montant, très actifs);12
477887;26101;2025-07-22;45;42;Moyen montant / élevé activité / ancien;11
477889;91000;2025-07-31;1;33;Élevé montant / faible activité / intermédiaire;16
477907;29840;2025-08-13;5;20;Moyen montant / moyen activité / récent;10
477964;17500;2025-07-18;2;46;À réactiver (petit montant, anciens);15
478006;8242;2025-08-18;37;15;Petits mais actifs (faible montant, très actifs);12
478011;67483;2025-07-30;6;34;Élevé montant / moyen activité / ancien;18
478029;105500;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
478215;139870;2025-08-01;6;32;Élevé montant / moyen activité / intermédiaire;19
478270;102642;2025-08-16;16;17;VIP (montant élevé, très actifs, récents);14
478473;107625;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
478509;5000;2025-08-05;1;28;Faible montant / faible activité / intermédiaire;0
478628;38500;2025-08-13;2;20;Moyen montant / faible activité / récent;7
478724;165000;2025-07-28;1;36;Premium dormants (haut montant, peu actifs, anciens);13
478746;36789;2025-08-09;18;24;Fidèles réguliers (activité élevée, montant moyen);4
478801;33177;2025-08-18;35;15;Fidèles réguliers (activité élevée, montant moyen);4
478830;97800;2025-07-28;9;36;Élevé montant / moyen activité / ancien;18
478834;21055;2025-08-04;30;29;Petits mais actifs (faible montant, très actifs);12
478864;77896;2025-08-01;2;32;Élevé montant / faible activité / intermédiaire;16
478874;12535;2025-08-14;78;19;Petits mais actifs (faible montant, très actifs);12
478883;91580;2025-08-13;5;20;Élevé montant / moyen activité / récent;20
478940;181917;2025-08-11;9;22;Élevé montant / moyen activité / récent;20
479018;43079;2025-08-06;23;27;Fidèles réguliers (activité élevée, montant moyen);4
479163;8000;2025-08-11;2;22;Faible montant / faible activité / récent;1
479171;15042;2025-07-17;12;47;Petits mais actifs (faible montant, très actifs);12
479184;79667;2025-07-29;3;35;Premium dormants (haut montant, peu actifs, anciens);13
479283;26569;2025-08-08;7;25;Moyen montant / moyen activité / intermédiaire;9
479346;42000;2025-08-18;7;15;Moyen montant / moyen activité / récent;10
479368;44708;2025-08-16;10;17;Fidèles réguliers (activité élevée, montant moyen);4
479380;37192;2025-08-11;39;22;Fidèles réguliers (activité élevée, montant moyen);4
479384;29193;2025-08-18;28;15;Fidèles réguliers (activité élevée, montant moyen);4
479402;134680;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
479409;52025;2025-08-05;14;28;Fidèles réguliers (activité élevée, montant moyen);4
479441;42494;2025-08-16;27;17;Fidèles réguliers (activité élevée, montant moyen);4
479460;38783;2025-08-10;21;23;Fidèles réguliers (activité élevée, montant moyen);4
479524;20173;2025-08-18;61;15;Petits mais actifs (faible montant, très actifs);12
479550;68000;2025-08-12;2;21;Élevé montant / faible activité / récent;17
479562;120907;2025-08-01;6;32;Élevé montant / moyen activité / intermédiaire;19
479567;151682;2025-08-10;22;23;VIP (montant élevé, très actifs, récents);14
479711;45453;2025-08-14;30;19;Fidèles réguliers (activité élevée, montant moyen);4
479739;183401;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
479768;31082;2025-08-10;24;23;Fidèles réguliers (activité élevée, montant moyen);4
479795;53402;2025-08-09;8;24;Moyen montant / moyen activité / intermédiaire;9
479798;141500;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
479800;107990;2025-08-11;22;22;VIP (montant élevé, très actifs, récents);14
479803;157970;2025-08-04;10;29;VIP (montant élevé, très actifs, récents);14
479875;43631;2025-08-12;8;21;Moyen montant / moyen activité / récent;10
479876;2812;2025-08-11;26;22;Petits mais actifs (faible montant, très actifs);12
479910;14472;2025-08-09;7;24;Faible montant / moyen activité / intermédiaire;2
479931;51723;2025-08-08;13;25;Fidèles réguliers (activité élevée, montant moyen);4
479932;3750;2025-08-08;2;25;Faible montant / faible activité / intermédiaire;0
479961;114906;2025-07-28;5;36;Élevé montant / moyen activité / ancien;18
479965;141333;2025-08-17;3;16;Élevé montant / faible activité / récent;17
479968;107472;2025-07-28;5;36;Élevé montant / moyen activité / ancien;18
479989;46529;2025-08-18;14;15;Fidèles réguliers (activité élevée, montant moyen);4
479996;93928;2025-07-29;8;35;Élevé montant / moyen activité / ancien;18
480005;38852;2025-08-15;4;18;Moyen montant / moyen activité / récent;10
480009;40004;2025-08-14;21;19;Fidèles réguliers (activité élevée, montant moyen);4
480011;14000;2025-08-11;1;22;Faible montant / faible activité / récent;1
480019;96569;2025-07-28;9;36;Élevé montant / moyen activité / ancien;18
480021;41667;2025-08-04;3;29;Moyen montant / faible activité / intermédiaire;6
480023;30509;2025-08-11;9;22;Moyen montant / moyen activité / récent;10
480024;69412;2025-08-15;25;18;VIP (montant élevé, très actifs, récents);14
480037;40000;2025-08-11;2;22;Moyen montant / faible activité / récent;7
480054;59083;2025-08-12;6;21;Moyen montant / moyen activité / récent;10
480058;96125;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
480063;18679;2025-08-18;20;15;Petits mais actifs (faible montant, très actifs);12
480066;21575;2025-08-18;35;15;Petits mais actifs (faible montant, très actifs);12
480091;96943;2025-07-31;6;33;Élevé montant / moyen activité / intermédiaire;19
480095;62189;2025-08-06;13;27;Fidèles réguliers (activité élevée, montant moyen);4
480107;140635;2025-08-15;7;18;Élevé montant / moyen activité / récent;20
480112;125000;2025-07-31;2;33;Élevé montant / faible activité / intermédiaire;16
480120;101732;2025-07-29;3;35;Premium dormants (haut montant, peu actifs, anciens);13
480129;57550;2025-08-06;10;27;Fidèles réguliers (activité élevée, montant moyen);4
480130;5285;2025-08-11;2;22;Faible montant / faible activité / récent;1
480136;55049;2025-08-08;5;25;Moyen montant / moyen activité / intermédiaire;9
480153;111332;2025-07-29;4;35;Élevé montant / moyen activité / ancien;18
480168;38750;2025-08-06;2;27;Moyen montant / faible activité / intermédiaire;6
480197;21012;2025-08-16;17;17;Petits mais actifs (faible montant, très actifs);12
480220;31763;2025-07-03;7;61;Moyen montant / moyen activité / ancien;8
480797;201000;2025-07-31;2;33;Élevé montant / faible activité / intermédiaire;16
480865;46250;2025-07-26;4;38;Moyen montant / moyen activité / ancien;8
480912;37951;2025-08-18;26;15;Fidèles réguliers (activité élevée, montant moyen);4
481315;34296;2025-08-14;16;19;Fidèles réguliers (activité élevée, montant moyen);4
481410;21250;2025-08-16;4;17;Faible montant / moyen activité / récent;3
481485;31500;2025-08-18;2;15;Moyen montant / faible activité / récent;7
481528;105868;2025-08-15;30;18;VIP (montant élevé, très actifs, récents);14
481556;4343;2025-08-05;3;28;Faible montant / faible activité / intermédiaire;0
481587;102525;2025-07-01;2;63;Premium dormants (haut montant, peu actifs, anciens);13
481692;125750;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
481910;24168;2025-08-09;11;24;Fidèles réguliers (activité élevée, montant moyen);4
481953;150000;2025-07-27;1;37;Premium dormants (haut montant, peu actifs, anciens);13
482125;20351;2025-08-13;13;20;Petits mais actifs (faible montant, très actifs);12
482223;29524;2025-08-04;11;29;Fidèles réguliers (activité élevée, montant moyen);4
482256;10050;2025-06-28;2;66;À réactiver (petit montant, anciens);15
482760;29072;2025-08-06;12;27;Fidèles réguliers (activité élevée, montant moyen);4
482789;36730;2025-08-18;14;15;Fidèles réguliers (activité élevée, montant moyen);4
482874;38909;2025-07-28;5;36;Moyen montant / moyen activité / ancien;8
482878;71650;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
482928;32365;2025-08-08;10;25;Fidèles réguliers (activité élevée, montant moyen);4
482941;61149;2025-06-28;10;66;Moyen montant / élevé activité / ancien;11
482947;3250;2025-07-30;2;34;À réactiver (petit montant, anciens);15
482951;64000;2025-07-29;5;35;Élevé montant / moyen activité / ancien;18
482957;83760;2025-07-29;7;35;Élevé montant / moyen activité / ancien;18
483042;22773;2025-08-05;11;28;Petits mais actifs (faible montant, très actifs);12
483117;43360;2025-08-15;5;18;Moyen montant / moyen activité / récent;10
483140;23425;2025-08-04;40;29;Fidèles réguliers (activité élevée, montant moyen);4
483177;156050;2025-07-26;4;38;Élevé montant / moyen activité / ancien;18
483184;27530;2025-07-31;14;33;Fidèles réguliers (activité élevée, montant moyen);4
483196;36250;2025-07-12;8;52;Moyen montant / moyen activité / ancien;8
483248;9547;2025-08-05;7;28;Faible montant / moyen activité / intermédiaire;2
483250;55000;2025-07-29;4;35;Moyen montant / moyen activité / ancien;8
483265;3000;2025-07-03;1;61;À réactiver (petit montant, anciens);15
483289;18012;2025-08-11;3;22;Faible montant / faible activité / récent;1
483381;35000;2025-07-14;2;50;Moyen montant / faible activité / ancien;5
483394;51221;2025-08-04;5;29;Moyen montant / moyen activité / intermédiaire;9
483409;35500;2025-08-06;2;27;Moyen montant / faible activité / intermédiaire;6
483423;31890;2025-08-18;22;15;Fidèles réguliers (activité élevée, montant moyen);4
483428;82134;2025-07-28;9;36;Élevé montant / moyen activité / ancien;18
483512;56986;2025-08-01;7;32;Moyen montant / moyen activité / intermédiaire;9
483526;68297;2025-08-08;6;25;Élevé montant / moyen activité / intermédiaire;19
483529;96700;2025-07-07;2;57;Premium dormants (haut montant, peu actifs, anciens);13
483537;125245;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
483541;136045;2025-08-01;22;32;VIP (montant élevé, très actifs, récents);14
483543;107873;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
483548;124000;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
483553;79395;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
483613;143578;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
483623;49324;2025-08-18;37;15;Fidèles réguliers (activité élevée, montant moyen);4
483627;22397;2025-08-09;36;24;Petits mais actifs (faible montant, très actifs);12
483630;75354;2025-08-01;11;32;VIP (montant élevé, très actifs, récents);14
483632;22390;2025-08-15;10;18;Petits mais actifs (faible montant, très actifs);12
483650;51709;2025-08-16;22;17;Fidèles réguliers (activité élevée, montant moyen);4
483654;172050;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
483684;10000;2025-06-24;1;70;À réactiver (petit montant, anciens);15
483689;18160;2025-08-15;10;18;Petits mais actifs (faible montant, très actifs);12
483700;71041;2025-08-18;9;15;Élevé montant / moyen activité / récent;20
483730;134340;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
483782;54628;2025-08-18;10;15;Fidèles réguliers (activité élevée, montant moyen);4
483799;88664;2025-07-29;1;35;Premium dormants (haut montant, peu actifs, anciens);13
483868;22625;2025-08-14;2;19;Faible montant / faible activité / récent;1
483896;21060;2025-07-19;2;45;À réactiver (petit montant, anciens);15
483902;98481;2025-08-03;8;30;Élevé montant / moyen activité / intermédiaire;19
483905;188300;2025-07-29;1;35;Premium dormants (haut montant, peu actifs, anciens);13
483909;64814;2025-08-04;55;29;VIP (montant élevé, très actifs, récents);14
483913;136250;2025-07-29;4;35;Élevé montant / moyen activité / ancien;18
483929;3525;2025-07-30;2;34;À réactiver (petit montant, anciens);15
483934;184000;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
483950;48333;2025-07-31;3;33;Moyen montant / faible activité / intermédiaire;6
483971;100000;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
483977;28750;2025-07-12;4;52;Moyen montant / moyen activité / ancien;8
483978;53333;2025-07-29;3;35;Moyen montant / faible activité / ancien;5
483979;85183;2025-07-29;3;35;Premium dormants (haut montant, peu actifs, anciens);13
483981;93004;2025-07-30;7;34;Élevé montant / moyen activité / ancien;18
483983;69500;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
483984;37000;2025-07-24;5;40;Moyen montant / moyen activité / ancien;8
483985;145483;2025-07-28;3;36;Premium dormants (haut montant, peu actifs, anciens);13
483993;65049;2025-08-01;7;32;Élevé montant / moyen activité / intermédiaire;19
483995;109300;2025-08-01;2;32;Élevé montant / faible activité / intermédiaire;16
484016;84171;2025-07-03;9;61;Élevé montant / moyen activité / ancien;18
484026;36242;2025-07-30;16;34;Moyen montant / élevé activité / ancien;11
484040;7009;2025-08-04;14;29;Petits mais actifs (faible montant, très actifs);12
484067;155750;2025-07-29;4;35;Élevé montant / moyen activité / ancien;18
484075;74667;2025-08-11;3;22;Élevé montant / faible activité / récent;17
484084;57059;2025-07-28;17;36;Moyen montant / élevé activité / ancien;11
484096;46700;2025-07-29;9;35;Moyen montant / moyen activité / ancien;8
484101;125625;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
484103;65823;2025-08-08;7;25;Élevé montant / moyen activité / intermédiaire;19
484106;32318;2025-07-29;11;35;Moyen montant / élevé activité / ancien;11
484108;78809;2025-08-16;29;17;VIP (montant élevé, très actifs, récents);14
484110;75750;2025-08-01;3;32;Élevé montant / faible activité / intermédiaire;16
484114;22155;2025-08-11;8;22;Faible montant / moyen activité / récent;3
484125;89280;2025-07-30;5;34;Élevé montant / moyen activité / ancien;18
484133;5424;2025-08-18;46;15;Petits mais actifs (faible montant, très actifs);12
484138;26371;2025-07-28;24;36;Moyen montant / élevé activité / ancien;11
484143;43889;2025-07-28;4;36;Moyen montant / moyen activité / ancien;8
484156;85000;2025-08-08;3;25;Élevé montant / faible activité / intermédiaire;16
484157;103373;2025-07-29;3;35;Premium dormants (haut montant, peu actifs, anciens);13
484168;45756;2025-08-18;39;15;Fidèles réguliers (activité élevée, montant moyen);4
484177;7100;2025-08-12;1;21;Faible montant / faible activité / récent;1
484182;151298;2025-07-28;5;36;Élevé montant / moyen activité / ancien;18
484190;100046;2025-08-18;20;15;VIP (montant élevé, très actifs, récents);14
484234;81350;2025-07-28;10;36;Élevé montant / élevé activité / ancien;21
484236;100700;2025-08-02;5;31;Élevé montant / moyen activité / intermédiaire;19
484242;66700;2025-08-12;10;21;VIP (montant élevé, très actifs, récents);14
484267;200000;2025-07-04;1;60;Premium dormants (haut montant, peu actifs, anciens);13
484279;71356;2025-08-02;12;31;VIP (montant élevé, très actifs, récents);14
484282;46443;2025-08-03;31;30;Fidèles réguliers (activité élevée, montant moyen);4
484314;40896;2025-08-01;12;32;Fidèles réguliers (activité élevée, montant moyen);4
484330;128950;2025-07-30;3;34;Premium dormants (haut montant, peu actifs, anciens);13
484346;71966;2025-08-08;15;25;VIP (montant élevé, très actifs, récents);14
484354;82591;2025-08-03;9;30;Élevé montant / moyen activité / intermédiaire;19
484364;57307;2025-08-04;12;29;Fidèles réguliers (activité élevée, montant moyen);4
484365;42500;2025-08-18;2;15;Moyen montant / faible activité / récent;7
484376;96967;2025-07-14;3;50;Premium dormants (haut montant, peu actifs, anciens);13
484380;38361;2025-08-18;16;15;Fidèles réguliers (activité élevée, montant moyen);4
484387;168500;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
484395;75714;2025-07-24;7;40;Élevé montant / moyen activité / ancien;18
484404;84338;2025-07-29;6;35;Élevé montant / moyen activité / ancien;18
484406;27500;2025-07-10;1;54;Moyen montant / faible activité / ancien;5
484478;85000;2025-08-06;5;27;Élevé montant / moyen activité / intermédiaire;19
484487;41754;2025-08-05;22;28;Fidèles réguliers (activité élevée, montant moyen);4
484488;61458;2025-08-04;13;29;Fidèles réguliers (activité élevée, montant moyen);4
484490;68343;2025-07-28;6;36;Élevé montant / moyen activité / ancien;18
484525;52250;2025-08-04;12;29;Fidèles réguliers (activité élevée, montant moyen);4
484549;200000;2025-08-04;2;29;Élevé montant / faible activité / intermédiaire;16
484553;32611;2025-07-30;12;34;Moyen montant / élevé activité / ancien;11
484635;76250;2025-07-29;4;35;Élevé montant / moyen activité / ancien;18
484636;54566;2025-08-18;20;15;Fidèles réguliers (activité élevée, montant moyen);4
484661;30959;2025-08-16;14;17;Fidèles réguliers (activité élevée, montant moyen);4
484665;23583;2025-07-27;6;37;Moyen montant / moyen activité / ancien;8
484667;79762;2025-08-05;8;28;Élevé montant / moyen activité / intermédiaire;19
484714;44642;2025-08-11;6;22;Moyen montant / moyen activité / récent;10
484720;119602;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
484735;28000;2025-07-10;1;54;Moyen montant / faible activité / ancien;5
484792;120000;2025-08-01;7;32;Élevé montant / moyen activité / intermédiaire;19
484797;26033;2025-08-18;27;15;Fidèles réguliers (activité élevée, montant moyen);4
484803;53422;2025-08-11;16;22;Fidèles réguliers (activité élevée, montant moyen);4
484815;14125;2025-08-11;4;22;Faible montant / moyen activité / récent;3
484823;61400;2025-08-18;20;15;Fidèles réguliers (activité élevée, montant moyen);4
484824;107240;2025-08-18;6;15;Élevé montant / moyen activité / récent;20
484828;52356;2025-08-16;36;17;Fidèles réguliers (activité élevée, montant moyen);4
484866;36974;2025-08-18;19;15;Fidèles réguliers (activité élevée, montant moyen);4
484928;69208;2025-08-01;12;32;VIP (montant élevé, très actifs, récents);14
484931;13188;2025-08-12;8;21;Faible montant / moyen activité / récent;3
484932;182000;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
484935;184420;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
484949;28202;2025-08-15;26;18;Fidèles réguliers (activité élevée, montant moyen);4
484982;57625;2025-08-14;16;19;Fidèles réguliers (activité élevée, montant moyen);4
484983;4800;2025-08-05;5;28;Faible montant / moyen activité / intermédiaire;2
485103;40060;2025-08-18;22;15;Fidèles réguliers (activité élevée, montant moyen);4
485141;69552;2025-08-11;8;22;Élevé montant / moyen activité / récent;20
485227;70222;2025-07-29;9;35;Élevé montant / moyen activité / ancien;18
485248;12810;2025-08-08;18;25;Petits mais actifs (faible montant, très actifs);12
485249;107222;2025-07-28;2;36;Premium dormants (haut montant, peu actifs, anciens);13
485251;36268;2025-07-28;2;36;Moyen montant / faible activité / ancien;5
485264;28844;2025-08-18;16;15;Fidèles réguliers (activité élevée, montant moyen);4
485277;19583;2025-08-17;12;16;Petits mais actifs (faible montant, très actifs);12
485292;104632;2025-08-12;5;21;Élevé montant / moyen activité / récent;20
485340;69638;2025-07-29;6;35;Élevé montant / moyen activité / ancien;18
485411;75576;2025-08-13;10;20;VIP (montant élevé, très actifs, récents);14
