client_id;montant_moyen;dernière_transaction;nb_transactions_mois;dernière_transaction_jour
5850;23535;17/08/2025;2;12
5878;60000;09/08/2025;1;20
5892;43040;13/08/2025;6;16
5906;42254;29/07/2025;14;31
5932;13337;18/08/2025;15;11
5942;57308;18/08/2025;10;11
5974;4337;17/08/2025;5;12
5982;128750;01/08/2025;20;28
6026;60000;09/08/2025;2;20
6056;18250;17/08/2025;4;12
6066;20488;18/08/2025;16;11
6082;15768;31/07/2025;25;29
6110;5000;22/07/2025;1;38
6196;93010;29/07/2025;2;31
6201;81273;30/06/2025;4;60
6208;23866;18/08/2025;67;11
6238;109485;14/08/2025;10;15
6242;60578;26/06/2025;4;64
6243;16627;18/08/2025;20;11
6248;33559;12/08/2025;9;17
6257;85842;05/08/2025;3;24
6281;39423;08/08/2025;20;21
6289;16500;05/08/2025;4;24
6320;59514;25/07/2025;2;35
6334;34100;05/08/2025;2;24
6338;44400;10/08/2025;5;19
6340;40437;18/08/2025;41;11
6359;29486;18/08/2025;117;11
6361;82143;14/08/2025;7;15
6408;47833;07/08/2025;6;22
6413;82088;16/08/2025;13;13
6433;64312;15/08/2025;16;14
6438;62529;06/08/2025;11;23
6441;109206;14/08/2025;17;15
6526;39000;28/07/2025;2;32
6534;40000;23/07/2025;1;37
6567;25000;04/08/2025;1;25
6591;156143;13/08/2025;7;16
6592;123000;31/07/2025;6;29
6614;20000;18/07/2025;1;42
6654;49562;30/07/2025;8;30
6655;127849;11/08/2025;7;18
6691;83500;05/08/2025;1;24
6707;18180;25/07/2025;1;35
6712;113333;16/08/2025;21;13
6731;36490;05/08/2025;4;24
6773;66794;01/08/2025;34;28
6862;20524;09/08/2025;21;20
6919;26708;06/08/2025;19;23
6969;183516;13/08/2025;4;16
6999;200000;18/08/2025;14;11
7024;18965;04/08/2025;22;25
7062;137772;14/08/2025;5;15
7109;156500;29/07/2025;2;31
7138;146208;04/08/2025;4;25
7189;127273;14/08/2025;11;15
7191;61148;13/08/2025;6;16
7331;90300;16/08/2025;20;13
7372;91000;09/08/2025;1;20
7373;11398;02/08/2025;10;27
7381;18543;18/08/2025;129;11
7475;104580;02/08/2025;6;27
7579;112004;10/08/2025;14;19
7583;180500;06/07/2025;4;54
7670;12720;10/08/2025;28;19
7714;12895;13/08/2025;15;16
7731;130300;10/08/2025;4;19
7756;3000;08/08/2025;1;21
7822;133728;29/07/2025;4;31
7884;43000;08/08/2025;1;21
7921;20520;16/08/2025;15;13
7942;22500;31/07/2025;2;29
7953;107885;18/08/2025;26;11
7969;106750;29/07/2025;4;31
8049;118695;15/08/2025;35;14
8113;170000;31/07/2025;1;29
8165;8750;30/07/2025;2;30
8174;99057;01/08/2025;7;28
8277;85768;30/07/2025;6;30
8280;84140;29/07/2025;10;31
8309;50250;29/07/2025;2;31
8312;2200;04/08/2025;1;25
8323;52518;14/08/2025;57;15
8443;55000;16/07/2025;1;44
8478;42583;25/07/2025;3;35
8520;16615;17/08/2025;2;12
8584;109949;18/08/2025;7;11
8613;24883;18/08/2025;45;11
8821;35000;25/07/2025;2;35
8838;70701;05/08/2025;7;24
8887;22500;11/08/2025;2;18
8892;40777;16/08/2025;38;13
8922;82500;26/07/2025;2;34
8926;79500;27/06/2025;2;63
8939;95115;28/07/2025;6;32
8982;27355;08/08/2025;13;21
9001;82500;12/08/2025;4;17
9007;185517;29/07/2025;3;31
9061;12125;09/08/2025;8;20
9072;64000;25/07/2025;2;35
9085;125583;12/08/2025;6;17
9103;20000;16/07/2025;1;44
9217;37273;10/08/2025;11;19
9221;75250;21/07/2025;2;39
9273;160000;28/07/2025;4;32
9301;11260;17/08/2025;29;12
9346;113253;12/07/2025;15;48
9385;151667;21/07/2025;3;39
11158;94333;17/08/2025;6;12
11159;18200;08/08/2025;4;21
11207;3000;02/07/2025;1;58
11223;80448;29/07/2025;4;31
11282;19333;08/08/2025;3;21
11288;139165;28/07/2025;4;32
11297;46750;16/08/2025;7;13
11371;192205;31/07/2025;4;29
11423;5891;13/08/2025;4;16
11426;116160;29/07/2025;4;31
11430;27725;07/08/2025;4;22
11474;5787;17/08/2025;99;12
11487;22555;18/08/2025;47;11
11535;10897;12/08/2025;11;17
11575;107222;14/08/2025;9;15
11587;44500;01/08/2025;4;28
11606;46000;13/08/2025;3;16
11642;35684;17/08/2025;31;12
11658;73600;07/08/2025;5;22
11684;10465;14/08/2025;4;15
11711;12386;18/08/2025;15;11
11713;1900;23/06/2025;3;67
11725;113400;05/08/2025;3;24
11733;100000;26/06/2025;1;64
11749;15655;25/06/2025;3;65
11760;49368;29/07/2025;9;31
11803;20400;17/07/2025;3;43
11904;125000;04/07/2025;1;56
11958;125000;18/08/2025;4;11
11993;106175;06/08/2025;4;23
12000;114067;08/08/2025;3;21
12057;27649;16/08/2025;12;13
12067;149359;28/07/2025;4;32
12070;77126;01/08/2025;4;28
12074;53849;08/08/2025;19;21
12111;136000;05/07/2025;5;55
12119;25200;30/06/2025;2;60
12128;125000;29/07/2025;1;31
12129;23445;18/08/2025;73;11
12142;200000;29/07/2025;1;31
12223;105000;05/08/2025;1;24
12239;19542;12/08/2025;12;17
12313;32500;05/08/2025;2;24
12325;102000;28/07/2025;5;32
12326;90714;30/07/2025;7;30
12327;78200;30/07/2025;5;30
12340;18050;18/08/2025;20;11
12405;74233;30/07/2025;3;30
12438;52000;01/07/2025;4;59
12444;180800;18/08/2025;2;11
12446;129790;28/07/2025;4;32
12465;35300;16/07/2025;5;44
12543;95750;07/07/2025;4;53
12556;33597;10/08/2025;22;19
12682;85730;07/08/2025;8;22
12714;177020;16/08/2025;5;13
12748;66223;11/08/2025;13;18
12782;53760;30/07/2025;4;30
12784;60602;30/07/2025;9;30
12802;87231;29/07/2025;26;31
12804;200000;28/07/2025;1;32
12827;36594;14/08/2025;19;15
12851;10000;26/06/2025;1;64
13024;76667;14/08/2025;3;15
13034;40000;05/08/2025;2;24
13039;25247;24/07/2025;16;36
13040;83500;02/08/2025;2;27
13049;160000;25/07/2025;2;35
13054;64667;28/07/2025;3;32
13082;85850;08/08/2025;1;21
13172;114478;05/08/2025;18;24
13226;136560;04/08/2025;5;25
13248;145583;17/08/2025;12;12
13253;60267;10/08/2025;3;19
13262;77329;05/08/2025;8;24
13305;85855;14/08/2025;13;15
13330;19615;08/08/2025;13;21
13406;75250;28/07/2025;2;32
13410;180900;28/07/2025;2;32
13535;127500;26/07/2025;4;34
13799;10628;11/08/2025;38;18
14301;37875;12/08/2025;12;17
14370;42986;18/08/2025;7;11
14384;56000;05/08/2025;1;24
14421;18467;05/08/2025;3;24
14424;54000;14/08/2025;1;15
14444;39683;26/07/2025;3;34
14506;83333;12/08/2025;3;17
14622;500;06/08/2025;1;23
14744;13211;17/08/2025;86;12
14750;97066;09/08/2025;5;20
14780;64667;05/08/2025;3;24
14836;15795;17/08/2025;37;12
14950;75000;24/06/2025;1;66
14974;23404;16/08/2025;8;13
14980;63593;28/07/2025;11;32
15046;24464;18/08/2025;7;11
15154;55300;18/08/2025;19;11
15160;10000;03/07/2025;1;57
15179;48600;30/07/2025;10;30
15262;150068;25/07/2025;4;35
15392;23238;08/08/2025;21;21
15484;14653;18/08/2025;44;11
15624;29793;29/07/2025;14;31
15781;10794;18/08/2025;14;11
15803;8296;13/08/2025;18;16
15895;20167;12/08/2025;62;17
15945;41371;18/08/2025;20;11
15949;126000;05/08/2025;2;24
15998;8676;22/07/2025;42;38
16026;85025;04/08/2025;16;25
16069;16447;25/07/2025;3;35
16288;61496;18/08/2025;28;11
16405;13221;18/08/2025;204;11
16653;110000;28/07/2025;2;32
16800;37292;16/08/2025;12;13
16858;41248;17/08/2025;23;12
16963;121200;19/06/2025;2;71
17048;89000;18/08/2025;50;11
17068;80688;12/08/2025;8;17
17190;57577;15/08/2025;21;14
17216;97400;16/08/2025;5;13
17232;14000;28/07/2025;3;32
17295;8838;13/08/2025;23;16
17301;8750;10/08/2025;8;19
17310;71010;13/08/2025;2;16
17393;109877;15/08/2025;8;14
17404;68127;18/08/2025;22;11
17408;115750;03/08/2025;24;26
17448;44000;16/08/2025;8;13
17493;73252;08/08/2025;4;21
17656;124537;09/08/2025;6;20
17807;42743;14/07/2025;3;46
17837;57657;12/07/2025;6;48
17842;86231;28/07/2025;4;32
17864;22255;16/08/2025;59;13
17887;22023;02/08/2025;21;27
17895;80000;01/07/2025;1;59
17909;85988;09/08/2025;16;20
18125;50333;29/07/2025;3;31
18127;25000;15/07/2025;2;45
18183;121442;11/08/2025;23;18
18257;19979;18/08/2025;48;11
18321;1000;21/06/2025;1;69
18342;13222;18/08/2025;45;11
18383;18999;16/08/2025;9;13
18461;59225;07/07/2025;1;53
18490;65673;05/08/2025;3;24
18508;46750;11/08/2025;4;18
18548;81667;05/08/2025;6;24
18593;66545;01/08/2025;8;28
18621;18055;09/08/2025;25;20
18679;144945;14/08/2025;6;15
18690;8415;21/07/2025;7;39
18797;71054;18/08/2025;48;11
18808;200800;11/08/2025;5;18
18821;55833;31/07/2025;6;29
18849;91910;15/08/2025;5;14
18939;66667;11/08/2025;3;18
18941;114000;28/07/2025;2;32
18976;36297;15/08/2025;26;14
18993;195000;14/08/2025;1;15
19013;30000;20/06/2025;1;70
19021;8017;12/08/2025;7;17
19120;56200;29/07/2025;4;31
19133;2772;04/07/2025;4;56
19143;41136;18/08/2025;4;11
19162;21140;16/08/2025;25;13
19214;150667;13/08/2025;3;16
19271;64444;08/08/2025;8;21
19292;15000;22/06/2025;1;68
19295;63293;27/06/2025;3;63
19306;8945;26/06/2025;10;64
19349;135500;29/07/2025;2;31
19368;8018;18/08/2025;25;11
19387;22263;14/08/2025;7;15
19390;33632;17/08/2025;22;12
19401;15506;07/08/2025;84;22
19408;82482;25/07/2025;2;35
19598;30000;07/08/2025;2;22
19620;36500;18/08/2025;1;11
19621;160000;21/07/2025;1;39
19631;39308;16/08/2025;6;13
19651;38000;11/07/2025;1;49
19693;15636;05/08/2025;6;24
19696;154000;28/07/2025;3;32
19776;80000;16/08/2025;2;13
19781;23280;10/08/2025;21;19
19789;23353;05/08/2025;5;24
19803;15050;11/08/2025;2;18
19830;200000;11/08/2025;1;18
19855;54084;18/08/2025;17;11
19873;40150;21/07/2025;2;39
19874;12804;18/08/2025;22;11
19896;115026;01/07/2025;1;59
19897;115175;29/07/2025;3;31
19898;42040;15/08/2025;9;14
19928;142925;27/06/2025;2;63
19935;67057;16/08/2025;9;13
19941;200000;27/07/2025;1;33
19999;23125;14/08/2025;4;15
20081;67667;15/08/2025;6;14
20089;28124;05/08/2025;6;24
20098;58015;26/07/2025;2;34
20124;113734;28/07/2025;5;32
20133;79187;15/08/2025;42;14
20145;22690;18/08/2025;31;11
20173;90773;29/07/2025;3;31
20177;76000;13/07/2025;2;47
20648;116000;21/07/2025;1;39
20749;69000;09/08/2025;2;20
20814;23571;31/07/2025;8;29
20875;17777;18/08/2025;46;11
20926;200000;27/06/2025;1;63
21000;23158;18/08/2025;64;11
21102;23333;04/08/2025;6;25
21199;127767;30/07/2025;12;30
21220;2500;29/07/2025;1;31
21257;103500;29/07/2025;2;31
21259;80000;05/08/2025;1;24
21279;152262;31/07/2025;4;29
21295;68444;08/08/2025;8;21
21306;50467;05/08/2025;3;24
21356;158143;07/08/2025;7;22
21420;77333;09/08/2025;3;20
21433;177768;28/07/2025;5;32
21578;70147;28/07/2025;25;32
21661;44210;08/08/2025;2;21
21699;79500;05/08/2025;2;24
21710;119633;17/08/2025;9;12
21720;100000;06/08/2025;1;23
21793;54287;02/08/2025;18;27
21799;38000;02/08/2025;5;27
21807;78393;07/08/2025;7;22
21824;27833;01/08/2025;3;28
21828;57898;05/08/2025;21;24
21892;25155;25/07/2025;4;35
21943;157500;27/07/2025;4;33
21949;48500;27/07/2025;4;33
21973;34000;26/07/2025;2;34
22004;105350;11/08/2025;2;18
22306;103985;30/07/2025;3;30
22343;12500;27/06/2025;1;63
22351;139488;17/08/2025;16;12
22368;27318;25/06/2025;11;65
22598;38363;30/06/2025;6;60
22600;22675;15/08/2025;20;14
22602;39769;09/08/2025;9;20
22616;35508;16/08/2025;8;13
22648;107450;30/07/2025;2;30
22709;38383;12/08/2025;3;17
22773;127957;29/07/2025;3;31
22872;104750;28/07/2025;4;32
22944;20681;09/08/2025;4;20
22976;63167;14/08/2025;5;15
23134;97000;29/07/2025;2;31
23138;127342;19/07/2025;20;41
23149;76364;04/08/2025;7;25
23268;11578;14/08/2025;14;15
23320;144000;28/07/2025;2;32
23326;11287;16/08/2025;18;13
23393;9400;30/07/2025;5;30
23482;8300;15/08/2025;4;14
23535;24924;18/08/2025;43;11
23583;10000;15/08/2025;1;14
23619;175750;10/08/2025;4;19
23630;34894;15/08/2025;25;14
23678;138250;18/08/2025;4;11
23816;72604;31/07/2025;13;29
23887;62973;06/08/2025;3;23
23975;82091;17/08/2025;11;12
24005;23667;05/08/2025;3;24
24060;193450;25/06/2025;2;65
24069;49200;28/07/2025;5;32
24137;30000;17/07/2025;1;43
24179;62738;16/08/2025;21;13
24221;105925;24/07/2025;4;36
24302;74000;24/07/2025;2;36
24629;128412;12/08/2025;29;17
24858;25732;18/08/2025;2;11
24913;16941;05/08/2025;11;24
25055;44778;17/08/2025;9;12
25077;54005;02/07/2025;2;58
25086;83333;01/07/2025;3;59
25092;140000;02/07/2025;1;58
25274;175000;11/07/2025;4;49
25306;2000;28/06/2025;1;62
25427;6372;13/08/2025;18;16
25444;32000;16/08/2025;1;13
25458;160500;28/07/2025;2;32
25462;85350;03/07/2025;2;57
25518;129500;26/07/2025;2;34
25523;95250;08/08/2025;3;21
25564;77900;07/08/2025;3;22
25586;24662;18/08/2025;47;11
25647;157197;30/07/2025;7;30
25742;75000;28/07/2025;1;32
25743;39492;05/08/2025;4;24
25754;3100;17/08/2025;5;12
25767;137649;29/07/2025;7;31
25781;78500;28/07/2025;3;32
25785;129708;11/08/2025;6;18
25855;76667;01/08/2025;3;28
25935;33000;05/08/2025;1;24
25941;53500;06/08/2025;10;23
25957;92274;15/08/2025;7;14
25960;34480;04/08/2025;5;25
25978;164000;18/08/2025;2;11
26018;85013;18/08/2025;6;11
26029;3000;17/08/2025;2;12
26034;135000;05/08/2025;2;24
26053;75121;02/08/2025;4;27
26078;80286;05/08/2025;2;24
26148;43000;05/08/2025;1;24
26153;52645;07/08/2025;4;22
26185;99007;15/08/2025;6;14
26295;78423;28/07/2025;11;32
26322;24333;06/08/2025;12;23
26336;32167;20/06/2025;6;70
26528;49045;05/08/2025;5;24
26543;23333;16/08/2025;3;13
26605;191500;27/07/2025;2;33
26625;47750;05/08/2025;4;24
26635;97667;12/08/2025;15;17
26640;6902;18/06/2025;3;72
26742;16441;14/08/2025;28;15
26773;10625;09/08/2025;4;20
26790;25129;06/08/2025;7;23
26810;167660;29/07/2025;5;31
26874;24583;18/08/2025;35;11
26949;200000;06/08/2025;7;23
27040;74480;24/07/2025;16;36
27067;28350;18/08/2025;12;11
27176;165700;05/08/2025;2;24
27209;30161;04/08/2025;34;25
27211;52699;16/08/2025;23;13
27212;136350;29/07/2025;3;31
27216;8080;30/07/2025;1;30
27227;10100;31/07/2025;1;29
27230;40369;29/07/2025;8;31
27238;30000;16/07/2025;1;44
27279;43750;12/07/2025;2;48
27286;97608;04/08/2025;6;25
27301;4500;18/08/2025;7;11
27310;19007;17/08/2025;38;12
27355;110000;08/08/2025;1;21
27406;66900;16/07/2025;1;44
27442;4585;15/08/2025;3;14
27488;71667;03/08/2025;3;26
27572;1000;17/06/2025;1;73
27629;115233;10/08/2025;3;19
27700;55000;20/07/2025;2;40
27750;77230;26/07/2025;4;34
27763;55478;10/08/2025;9;19
27785;15667;06/08/2025;3;23
28021;18864;11/08/2025;32;18
28022;68670;28/07/2025;3;32
28097;18822;04/08/2025;12;25
28175;67170;16/08/2025;6;13
28191;37329;26/07/2025;14;34
28216;36150;11/08/2025;6;18
28286;49492;08/08/2025;6;21
28303;15987;18/08/2025;27;11
28349;175000;03/08/2025;3;26
28361;28003;06/08/2025;3;23
28362;113750;29/07/2025;4;31
28389;26218;17/08/2025;23;12
28470;57000;14/08/2025;9;15
28574;6750;09/08/2025;8;20
28606;129500;28/07/2025;2;32
28637;15337;14/08/2025;17;15
28646;27809;23/07/2025;4;37
28781;107700;06/08/2025;4;23
28790;505;26/06/2025;1;64
28845;7500;05/08/2025;2;24
28880;47701;16/08/2025;17;13
28881;76558;02/08/2025;6;27
28884;88000;18/08/2025;5;11
28890;13878;10/08/2025;5;19
28900;56531;18/08/2025;7;11
28924;51390;13/08/2025;5;16
28932;13855;06/07/2025;3;54
28970;86545;11/08/2025;19;18
29017;135000;06/08/2025;1;23
29070;10382;12/08/2025;41;17
29080;41878;18/08/2025;50;11
29089;2500;15/07/2025;2;45
29091;105093;08/08/2025;7;21
29123;200000;01/08/2025;1;28
29200;133460;10/08/2025;15;19
29203;91629;12/08/2025;14;17
29215;10608;18/08/2025;47;11
29322;142420;11/08/2025;4;18
29444;75000;09/08/2025;2;20
29475;121800;05/08/2025;5;24
29505;25333;06/08/2025;3;23
29517;38750;05/08/2025;2;24
29563;100000;01/08/2025;2;28
29592;200000;30/07/2025;1;30
29604;120167;07/08/2025;3;22
29606;20000;09/07/2025;2;51
29623;29900;15/08/2025;10;14
29659;3000;11/08/2025;2;18
29705;88000;05/08/2025;2;24
29730;120452;29/07/2025;4;31
29752;11750;24/07/2025;4;36
29755;6561;17/08/2025;165;12
29777;105025;12/08/2025;4;17
29786;33542;10/08/2025;5;19
29787;15324;15/08/2025;49;14
29803;28280;04/08/2025;2;25
29807;61333;05/08/2025;3;24
29869;25050;12/08/2025;2;17
29895;86525;27/07/2025;5;33
29914;62991;02/08/2025;11;27
29946;72888;26/07/2025;3;34
29953;93516;28/07/2025;6;32
29989;50250;23/07/2025;2;37
30015;68813;30/07/2025;13;30
30030;192500;05/08/2025;2;24
30038;81281;28/07/2025;15;32
30131;118180;29/07/2025;4;31
30137;25000;03/07/2025;1;57
30189;16852;18/08/2025;68;11
30264;200000;01/08/2025;1;28
30320;99500;06/08/2025;2;23
30355;94450;28/07/2025;2;32
30357;135000;05/08/2025;2;24
30391;48059;02/08/2025;34;27
30404;2500;31/07/2025;2;29
30423;9242;11/08/2025;18;18
30459;24564;18/08/2025;81;11
30575;200000;29/07/2025;1;31
30578;63194;12/08/2025;28;17
30589;74086;14/08/2025;20;15
30611;69222;13/08/2025;18;16
30765;29375;10/08/2025;8;19
30797;61212;07/08/2025;26;22
30876;16388;10/08/2025;13;19
30913;143333;16/08/2025;12;13
30922;22913;05/08/2025;7;24
30968;50079;16/08/2025;9;13
31004;144823;12/08/2025;3;17
31011;100250;29/07/2025;4;31
31060;85347;07/08/2025;3;22
31086;138000;14/08/2025;1;15
31098;16882;08/08/2025;37;21
31130;51250;17/08/2025;4;12
31146;13750;13/08/2025;4;16
31153;120000;06/08/2025;2;23
31178;102000;08/08/2025;6;21
31183;52255;05/08/2025;4;24
31196;31367;16/08/2025;20;13
31220;37122;11/08/2025;21;18
31244;94433;30/07/2025;3;30
31267;79770;17/08/2025;11;12
31315;44272;18/08/2025;29;11
31320;20000;13/08/2025;1;16
31323;58713;10/08/2025;9;19
31345;12286;29/07/2025;7;31
31395;138750;28/07/2025;4;32
31422;45512;11/08/2025;14;18
31466;50810;18/08/2025;29;11
31506;38679;04/08/2025;14;25
31552;109342;05/08/2025;4;24
31564;68000;05/08/2025;2;24
31568;20571;15/08/2025;7;14
31583;7830;18/08/2025;5;11
31591;10125;17/08/2025;8;12
31611;10000;28/07/2025;1;32
31620;29923;16/08/2025;46;13
31666;79770;02/08/2025;9;27
31667;19601;30/07/2025;4;30
31717;11573;01/08/2025;12;28
31753;15027;28/07/2025;12;32
31763;12000;09/08/2025;1;20
31811;200000;28/07/2025;1;32
31945;139211;17/08/2025;19;12
31977;65448;27/06/2025;3;63
32064;17500;24/07/2025;4;36
32121;7433;25/07/2025;3;35
32133;67548;31/07/2025;14;29
32168;150750;29/07/2025;2;31
32205;84540;15/08/2025;10;14
32212;20000;04/07/2025;4;56
32248;24961;08/08/2025;8;21
32257;50790;11/08/2025;15;18
32284;6000;16/08/2025;2;13
32338;8333;21/07/2025;10;39
32393;48000;01/07/2025;1;59
32435;25167;08/08/2025;6;21
32445;22746;07/08/2025;13;22
32450;28500;25/07/2025;2;35
32486;11683;18/08/2025;3;11
32580;29206;12/08/2025;30;17
32654;87167;15/08/2025;3;14
32790;144475;30/07/2025;4;30
32860;56724;13/08/2025;16;16
32939;164000;09/08/2025;3;20
32942;29732;16/08/2025;14;13
32967;62500;16/08/2025;2;13
33022;41257;16/08/2025;15;13
33030;200000;01/07/2025;2;59
33031;62500;16/07/2025;2;44
33124;47065;02/08/2025;4;27
33139;34000;05/08/2025;2;24
33158;1252;22/07/2025;2;38
33252;37467;18/08/2025;6;11
33275;19650;17/08/2025;10;12
33301;87476;22/07/2025;7;38
33315;13277;23/07/2025;15;37
33385;4906;27/07/2025;7;33
33402;6038;10/07/2025;4;50
33507;25554;17/08/2025;18;12
33599;175000;21/06/2025;4;69
33679;89833;02/08/2025;3;27
33724;67150;18/08/2025;5;11
33818;113700;03/08/2025;2;26
33900;22300;04/08/2025;7;25
33940;5800;16/08/2025;3;13
33950;56000;05/08/2025;3;24
33986;163000;09/08/2025;2;20
33995;23362;05/08/2025;15;24
34019;37000;04/08/2025;1;25
34086;44078;12/08/2025;23;17
34119;129245;28/07/2025;4;32
34139;22837;11/08/2025;3;18
34140;50000;24/06/2025;1;66
34143;18350;18/07/2025;6;42
34146;86268;05/08/2025;6;24
34378;117000;30/07/2025;5;30
34392;27150;01/08/2025;5;28
34399;175000;10/08/2025;2;19
34474;29607;16/08/2025;5;13
34614;47134;08/08/2025;37;21
34629;27355;25/07/2025;44;35
34664;2400;13/08/2025;2;16
34689;80970;16/08/2025;35;13
34690;70701;08/08/2025;14;21
34691;47156;01/08/2025;8;28
34695;67000;05/08/2025;1;24
34703;166833;01/08/2025;6;28
34810;5000;28/06/2025;1;62
34844;50904;18/08/2025;28;11
34908;57683;01/08/2025;3;28
34923;16000;06/08/2025;3;23
35098;118000;07/08/2025;1;22
35103;91336;18/08/2025;21;11
35177;30766;17/08/2025;29;12
