societaire,montant_moyen,nb_transactions_mois,dernière_transaction,dernière_transaction_jour
5133,26305.555555555555,18,2025-08-09,20
5139,100000.0,2,2025-08-07,22
5198,16038.2,25,2025-08-16,13
5226,81928.26086956522,23,2025-07-22,38
5252,22600.0,3,2025-07-18,42
5257,60341.666666666664,6,2025-08-10,19
5313,54500.0,2,2025-08-05,24
5324,47500.0,7,2025-08-08,21
5373,5000.0,1,2025-07-11,49
5375,12375.0,8,2025-08-15,14
5409,37581.53846153846,65,2025-08-17,12
5434,145000.0,3,2025-08-01,28
5442,157333.33333333334,3,2025-08-05,24
5509,14284.130434782608,23,2025-07-29,31
5559,54989.6875,32,2025-08-12,17
5596,13210.138888888889,36,2025-08-04,25
5602,100500.0,3,2025-07-29,31
5634,76163.0,1,2025-07-26,34
5657,34461.413043478264,46,2025-08-14,15
5686,140000.0,3,2025-07-29,31
5707,106250.0,4,2025-08-06,23
5752,10885.76923076923,117,2025-08-18,11
5774,18750.0,16,2025-08-11,18
5798,7116.944444444444,18,2025-08-01,28
5822,28750.0,4,2025-07-21,39
5850,23535.0,2,2025-08-17,12
5878,60000.0,1,2025-08-09,20
5892,43040.0,6,2025-08-13,16
5906,42253.57142857143,14,2025-07-29,31
5932,13337.0,15,2025-08-18,11
5942,57307.5,10,2025-08-18,11
5974,4337.0,5,2025-08-17,12
5982,128750.0,20,2025-08-01,28
6026,60000.0,2,2025-08-09,20
6056,18250.0,4,2025-08-17,12
6066,20488.4375,16,2025-08-18,11
6082,15768.4,25,2025-07-31,29
6110,5000.0,1,2025-07-22,38
6196,93010.0,2,2025-07-29,31
6201,81272.75,4,2025-06-30,60
6208,23866.074626865673,67,2025-08-18,11
6238,109485.0,10,2025-08-14,15
6242,60577.5,4,2025-06-26,64
6243,16627.25,20,2025-08-18,11
6248,33558.88888888889,9,2025-08-12,17
6257,85841.66666666667,3,2025-08-05,24
6281,39423.0,20,2025-08-08,21
6289,16500.0,4,2025-08-05,24
6320,59514.0,2,2025-07-25,35
6334,34100.0,2,2025-08-05,24
6338,44400.0,5,2025-08-10,19
6340,40436.58536585366,41,2025-08-18,11
6359,29486.068376068375,117,2025-08-18,11
6361,82142.85714285714,7,2025-08-14,15
6408,47833.333333333336,6,2025-08-07,22
6413,82088.46153846153,13,2025-08-16,13
6433,64312.5,16,2025-08-15,14
6438,62529.09090909091,11,2025-08-06,23
6441,109205.88235294117,17,2025-08-14,15
6526,39000.0,2,2025-07-28,32
6534,40000.0,1,2025-07-23,37
6567,25000.0,1,2025-08-04,25
6591,156142.85714285713,7,2025-08-13,16
6592,123000.0,6,2025-07-31,29
6614,20000.0,1,2025-07-18,42
6654,49562.5,8,2025-07-30,30
6655,127848.57142857143,7,2025-08-11,18
6691,83500.0,1,2025-08-05,24
6707,18180.0,1,2025-07-25,35
6712,113333.33333333333,21,2025-08-16,13
6731,36490.0,4,2025-08-05,24
6773,66794.11764705883,34,2025-08-01,28
6862,20523.809523809523,21,2025-08-09,20
6919,26708.157894736843,19,2025-08-06,23
6969,183516.25,4,2025-08-13,16
6999,200000.0,14,2025-08-18,11
7024,18965.227272727272,22,2025-08-04,25
7062,137772.0,5,2025-08-14,15
7109,156500.0,2,2025-07-29,31
7138,146207.5,4,2025-08-04,25
7189,127272.72727272728,11,2025-08-14,15
7191,61148.333333333336,6,2025-08-13,16
7331,90300.0,20,2025-08-16,13
7372,91000.0,1,2025-08-09,20
7373,11398.5,10,2025-08-02,27
7381,18542.98449612403,129,2025-08-18,11
7475,104580.0,6,2025-08-02,27
7579,112003.57142857143,14,2025-08-10,19
7583,180500.0,4,2025-07-06,54
7670,12720.0,28,2025-08-10,19
7714,12895.0,15,2025-08-13,16
7731,130300.0,4,2025-08-10,19
7756,3000.0,1,2025-08-08,21
7822,133727.5,4,2025-07-29,31
7884,43000.0,1,2025-08-08,21
7921,20520.0,15,2025-08-16,13
7942,22500.0,2,2025-07-31,29
7953,107884.61538461539,26,2025-08-18,11
7969,106750.0,4,2025-07-29,31
8049,118695.42857142857,35,2025-08-15,14
